;;;;;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;York;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Tekwani;Supplier;Merensky;Supplier;Merensky;Supplier;Merensky;Supplier;Merensky;Supplier;Merensky;Supplier;Busby;Supplier;Busby;Supplier;Busby;Supplier;Busby;Supplier;R.F Gevers (Pty) Ltd;Supplier;R.F Gevers (Pty) Ltd;Supplier;R.F Gevers (Pty) Ltd;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;Bracken Timbers;Supplier;White River Sawmills;Supplier;White River Sawmills;Supplier;Komati;Supplier;O2 Wood;Supplier;C&G Timbers;Supplier;Timber Junction;Supplier;Safind Forest Products;Supplier;The Lumber Yard;Supplier;The Lumber Yard;Supplier;MTO Forestry;System Price;System Price;System Price;System Price;System Price;System Price;;System Price;System Price;System Price
;;;;;Date;01 01 2018;Date;01 01 2019;Date;01 01 2020;Date;01 01 2021;Date;01 06 2021;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2018;Date;01 01 2019;Date;01 01 2020;Date;01 01 2021;Date;01 06 2021;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2019;Date;01 01 2020;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2019;Date;01 01 2023;Date;01 01 2025;Date;01 10 2025;Date;01 01 2019;Date;01 01 2021;Date;01 01 2023;Date;01 01 2019;Date;01 01 2020;Date;01 01 2021;Date;01 06 2021;Date;01 01 2023;Date;01 10 2025;Date;01 01 2020;Date;01 01 2021;Date;01 01 2018;Date;01 01 2018;Date;01 01 2019;Date;01 01 2019;Date;01 01 2019;Date;01 01 2019;Date;01 01 2020;Date;01 10 2025;01 01 2019;01 01 2020;01 01 2021;01 01 2022;01 06 2022;01 01 2023;;01 01 2024;01 01 2025;01 10 2025
W;H;GRADE;M³;LENGTH;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M³;R/M;R/M;R/M;R/M;R/M;R/M;R/M;;R/M;R/M;R/M
38,000;102,000;S5;0,003876;3.0 - 5.4;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;R 0,00;;R 0,00;;; R4 145,00 ; R16,07 ; R4 467,00 ;R 17,31; R4 530,00 ;R 17,56;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;18,91;19,66;19,66
38,000;102,000;S5;0,003876;5.7 - 6.6;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;;;;;;;R 0,00;;R 0,00;;;;;;;;R 0,00;;R 0,00;;; R4 295,00 ; R16,65 ; R4 467,00 ;R 17,31; R-   ;R 0,00;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;;;;;;;;;;;;;R 0,00;;;;;;;;20,53;21,06;21,06
38,000;114,000;S5;0,004332;0.9 - 2.7;;;;;;;;;;;;;;R 0,00;;R 0,00;R 3 015,00;R 13,06;R 3 140,00;R 13,60;R 3 065,00;R 13,28;R 3 220,00;R 13,95;R 3 385,00;R 14,66;R 3 495,00;R 15,14;R 3 785,00;R 16,40;R 3 940,00;R 17,07;R 3 308,00;R 14,33;R 3 383,00;R 14,66;R 3 392,00;R 14,69;R 3 679,00;R 15,94;R 3 845,00;R 16,66;R 3 100,00;R 13,43;R 3 775,00;R 16,35;R 3 926,00;R 17,01;R 4 125,00;R 17,87;R 3 040,00;R 13,17;R 3 615,00;R 15,66;R 3 745,00;R 16,22;R 3 008,00;R 13,03;R 3 230,00;R 13,99;R 3 400,00;R 14,73;R 3 700,00;;R 3 850,00;R 16,68;R 3 990,00;R 17,28;R 3 710,00;R 16,07;R 3 820,00;;R 2 880,00;R 42 206,85;R 3 530,00;R 51 732,70;;;;;;;;;;;;R 0,00;14,78;15,67;16,46;17,53;14,66;15,76;;16,79;17,91;18,81
38,000;114,000;S5;0,004332;3.0 - 5.4;R 3 390,00;R 14,69;R 3 490,00;R 15,12;R 3 484,00;R 15,09;R 3 708,00;R 16,06;R 3 925,00;R 17,00;R 3 900,00;R 16,89;R 4 130,00;R 17,89;R 4 376,00;R 18,96;R 3 405,00;R 14,75;R 3 545,00;R 15,36;R 3 590,00;R 15,55;R 3 770,00;R 16,33;R 3 960,00;R 17,15;R 4 050,00;R 17,54;R 4 275,00;R 18,52;R 4 450,00;R 19,28;R 3 728,00;R 16,15;R 3 816,00;R 16,53;R 3 820,00;R 16,55;R 4 157,00;R 18,01;R 4 347,00;R 18,83;R 3 590,00;R 15,55;R 4 145,00;R 17,96;R 4 311,00;R 18,68;R 4 530,00;R 19,62;R 3 610,00;R 15,64;R 4 330,00;R 18,76;R 4 139,00;R 17,93;R 3 619,00;R 15,68;R 3 895,00;R 16,87;R 4 100,00;R 17,76;R 4 500,00;;R 4 720,00;R 20,45;R 4 655,00;R 20,17;R 4 010,00;R 17,37;R 4 130,00;;R 2 880,00;R 47 609,03;R 3 755,00;R 62 073,57;R 3 568,00;R 15,46;R 3 350,00;R 14,51;R 3 350,00;R 14,51;R 3 448,00;R 14,94;R 3 736,00;R 16,18;R 4 640,00;R 20,10;15,55;16,48;17,32;18,44;17,15;18,44;;18,91;19,66;20,64
38,000;114,000;S5;0,004332;5.7 - 6.6;R 3 550,00;R 15,38;R 3 680,00;R 15,94;R 3 540,00;R 15,34;R 3 946,00;R 17,09;R 4 265,00;R 18,48;R 4 200,00;R 18,19;R 4 463,00;R 19,33;R 4 729,00;R 20,49;R 3 405,00;R 14,75;R 3 545,00;R 15,36;R 3 765,00;R 16,31;R 3 955,00;R 17,13;R 4 155,00;R 18,00;R 4 300,00;R 18,63;R 4 655,00;R 20,17;R 4 845,00;R 20,99;R 3 976,00;R 17,22;R 4 147,00;R 17,96;R 4 147,00;R 17,96;R 4 521,00;R 19,58;R 4 769,00;R 20,66;R 3 590,00;R 15,55;R 4 295,00;R 18,61;R 4 467,00;R 19,35;R 4 695,00;R 20,34;R 3 610,00;R 15,64;R 4 330,00;R 18,76;R 4 450,00;R 19,28;R 3 619,00;R 15,68;R 3 895,00;R 16,87;R 4 100,00;R 17,76;R 4 550,00;;R 4 800,00;R 20,79;R 5 035,00;R 21,81;R 4 010,00;R 17,37;R 4 130,00;;R 2 880,00;R 51 738,64;R 3 845,00;R 69 074,67;R 3 568,00;R 15,46;R 3 350,00;R 14,51;R 3 350,00;R 14,51;R 3 550,00;R 15,38;R 3 842,00;R 16,64;R 4 871,00;R 21,10;16,00;16,95;17,81;18,97;18,48;19,87;;20,53;21,06;22,11
38,000;114,000;S7;0,004332;3.0 - 5.4;R 3 855,00;R 16,70;R 3 990,00;R 17,28;R 3 966,00;R 17,18;R 4 337,00;R 18,79;R 4 640,00;R 20,10;R 4 900,00;R 21,23;R 4 968,00;R 21,52;R 5 121,00;R 22,18;R 3 995,00;R 17,31;R 4 155,00;R 18,00;R 4 505,00;R 19,52;R 4 735,00;R 20,51;R 4 975,00;R 21,55;R 4 850,00;R 21,01;R 5 250,00;R 22,74;R 5 465,00;R 23,67;;;;;;;;R 0,00;;R 0,00;R 4 120,00;R 17,85;R 4 760,00;R 20,62;R 4 950,00;R 21,44;R 5 200,00;R 22,53;R 4 295,00;R 18,61;R 4 925,00;R 21,34;R 4 920,00;R 21,31;R 3 948,00;R 17,10;R 4 180,00;R 18,11;R 4 400,00;R 19,06;R 4 900,00;;R 5 250,00;R 22,74;;R 0,00;R 4 490,00;R 19,45;R 4 620,00;R 20,01;R 3 710,00;R 0,00;R 4 415,00;R 0,00;;;;;R 4 560,00;R 19,75;;;;;;R 0,00;18,39;19,49;21,44;24,12;21,55;23,17;;24,26;25,23;26,49
38,000;114,000;S7;0,004332;5.7 - 6.6;R 4 000,00;R 17,33;R 4 100,00;R 17,76;R 4 080,00;R 17,67;R 4 496,00;R 19,48;R 4 926,00;R 21,34;R 4 900,00;R 21,23;R 5 198,00;R 22,52;R 5 485,00;R 23,76;R 3 995,00;R 17,31;R 4 155,00;R 18,00;R 4 505,00;R 19,52;R 4 735,00;R 20,51;R 4 975,00;R 21,55;R 4 850,00;R 21,01;R 5 250,00;R 22,74;R 5 465,00;R 23,67;;;;;;;;R 0,00;;R 0,00;R 4 120,00;R 17,85;R 4 760,00;R 20,62;R 4 950,00;R 21,44;R 5 200,00;R 22,53;R 4 295,00;R 18,61;R 4 925,00;R 21,34;R 5 290,00;R 22,92;R 3 948,00;R 17,10;R 4 180,00;R 18,11;R 4 400,00;R 19,06;R 4 950,00;;R 5 300,00;R 22,96;;R 0,00;R 4 490,00;R 19,45;R 4 620,00;R 20,01;R 3 710,00;R 0,00;R 4 520,00;R 0,00;;;;;R 4 560,00;R 19,75;;;;;;R 0,00;18,39;19,49;21,44;24,12;21,55;23,17;;24,26;25,23;26,49
38,000;152,000;S5;0,005776;3.0 - 5.4;R 3 395,00;R 19,61;R 3 490,00;R 20,16;R 3 494,00;R 20,18;R 3 664,00;R 21,16;R 3 789,00;R 21,89;R 3 850,00;R 22,24;R 3 862,00;R 22,31;R 4 258,00;R 24,59;R 3 455,00;R 19,96;R 3 595,00;R 20,76;R 3 740,00;R 21,60;R 3 930,00;R 22,70;R 4 130,00;R 23,85;R 4 085,00;R 23,59;R 4 425,00;R 25,56;R 4 605,00;R 26,60;R 3 697,00;R 21,35;R 3 784,00;R 21,86;R 3 788,00;R 21,88;R 4 157,00;R 24,01;R 4 383,00;R 25,32;R 3 640,00;R 21,02;R 4 170,00;R 24,09;R 4 337,00;R 25,05;R 4 555,00;R 26,31;R 3 750,00;R 21,66;R 4 330,00;R 25,01;R 4 292,00;R 24,79;R 3 666,00;R 21,17;R 3 942,50;R 22,77;R 4 150,00;R 23,97;R 4 550,00;;R 4 750,00;R 27,44;R 4 702,50;R 27,16;R 4 010,00;R 23,16;R 4 130,00;;R 2 880,00;R 62 946,39;R 3 755,00;R 82 070,72;;;;;R 3 450,00;R 19,93;R 3 550,00;R 20,50;R 3 763,00;R 21,74;R 4 934,00;R 28,50;20,90;22,16;23,28;24,79;23,85;25,64;;25,74;26,37;27,69
38,000;152,000;S5;0,005776;5.7 - 6.6;R 3 610,00;R 20,85;R 3 720,00;R 21,49;R 3 634,00;R 20,99;R 3 909,00;R 22,58;R 4 115,00;R 23,77;R 4 250,00;R 24,55;R 4 290,00;R 24,78;R 4 767,00;R 27,53;R 3 455,00;R 19,96;R 3 595,00;R 20,76;R 3 815,00;R 22,04;R 4 010,00;R 23,16;R 4 215,00;R 24,35;R 4 350,00;R 25,13;R 4 710,00;R 27,20;R 4 900,00;R 28,30;R 3 976,00;R 22,97;R 4 147,00;R 23,95;R 4 147,00;R 23,95;R 4 521,00;R 26,11;R 4 769,00;R 27,55;R 3 640,00;R 21,02;R 4 320,00;R 24,95;R 4 493,00;R 25,95;R 4 720,00;R 27,26;R 3 750,00;R 21,66;R 4 330,00;R 25,01;R 4 615,00;R 26,66;R 3 666,00;R 21,17;R 3 942,50;R 22,77;R 4 150,00;R 23,97;R 4 600,00;;R 4 850,00;R 28,01;R 5 130,00;R 29,63;R 4 010,00;R 23,16;R 4 130,00;;R 2 880,00;R 68 984,85;R 3 845,00;R 92 099,56;;;;;R 3 450,00;R 19,93;R 3 605,00;R 20,82;R 3 869,00;R 22,35;R 5 033,00;R 29,07;21,68;22,99;24,15;25,72;24,35;26,18;;27,37;28,07;29,47
38,000;152,000;S7;0,005776;3.0 - 5.4;R 3 855,00;R 22,27;R 3 990,00;R 23,05;R 3 966,00;R 22,91;R 4 337,00;R 25,05;R 4 640,00;R 26,80;R 4 850,00;R 28,01;R 5 370,00;R 31,02;R 5 638,00;R 32,57;R 4 045,00;R 23,36;R 4 210,00;R 24,32;R 4 560,00;R 26,34;R 4 790,00;R 27,67;R 5 030,00;R 29,05;R 4 900,00;R 28,30;R 5 305,00;R 30,64;R 5 520,00;R 31,88;;;;;;;;R 0,00;;R 0,00;R 4 170,00;R 24,09;R 4 760,00;R 27,49;R 4 960,00;R 28,65;R 5 200,00;R 30,04;R 4 495,00;R 25,96;R 5 115,00;R 29,54;R 5 148,00;R 29,73;R 3 948,00;R 22,80;R 4 180,00;R 24,14;R 4 400,00;R 25,41;R 4 950,00;;R 5 250,00;R 30,32;;R 0,00;R 4 490,00;R 25,93;R 4 620,00;R 26,69;R 3 710,00;R 0,00;R 4 415,00;R 0,00;;;;;R 4 735,00;R 27,35;;;;;;R 0,00;24,63;26,10;28,72;32,30;29,05;31,23;;32,35;33,64;35,32
38,000;152,000;S7;0,005776;5.7 - 6.6;R 4 020,00;R 23,22;R 4 160,00;R 24,03;R 4 141,00;R 23,92;R 4 562,00;R 26,35;R 4 936,00;R 28,51;R 4 850,00;R 28,01;R 5 370,00;R 31,02;R 5 638,00;R 32,57;R 4 045,00;R 23,36;R 4 210,00;R 24,32;R 4 560,00;R 26,34;R 4 790,00;R 27,67;R 5 030,00;R 29,05;R 4 900,00;R 28,30;R 5 305,00;R 30,64;R 5 520,00;R 31,88;;;;;;;;R 0,00;;R 0,00;R 4 170,00;R 24,09;R 4 760,00;R 27,49;R 4 960,00;R 28,65;R 5 200,00;R 30,04;R 4 495,00;R 25,96;R 5 115,00;R 29,54;R 5 535,00;R 31,97;R 3 948,00;R 22,80;R 4 180,00;R 24,14;R 4 400,00;R 25,41;R 4 950,00;;R 5 300,00;R 30,61;;R 0,00;R 4 490,00;R 25,93;R 4 620,00;R 26,69;R 3 710,00;R 0,00;R 4 520,00;R 0,00;;;;;R 4 735,00;R 27,35;;;;;;R 0,00;24,63;26,10;28,72;32,30;29,05;31,23;;32,35;33,64;35,32
